"time","value"
1,2.57966713434383
2,2.54260946483677
3,3.7651833917738
4,3.70150258741624
5,3.69170348454566
6,4.79390827845482
7,4.7977679669563
8,3.59267150934047
9,3.0333402111469
10,2.75470878984755
11,3.70062429008567
12,3.85236911100869
13,4.00243530422279
14,3.91942614453981
15,3.386452121304
16,4.60000089280535
17,4.66849604900475
18,2.99816482956305
19,3.52948099474502
20,3.13263081038646
21,2.39862805411838
22,2.4063200030339
23,1.84685288861205
24,1.60725845038584
25,1.48827927281419
26,0.649938100731666
27,1.7464014117315
28,2.14448231187076
29,1.55888999358825
30,2.76478243961955
31,3.15035090672941
32,2.95373068728893
33,3.62957251256266
34,4.15835145132326
35,4.54178791820485
36,4.75547851243394
37,4.83212516742347
38,4.46236193653507
39,3.99571568461011
40,3.57024284697942
41,3.00989939233918
42,2.90237741925762
43,2.07612448930831
44,3.81916876718361
45,4.54090841256038
46,3.48655072180596
47,3.14722119273542
48,2.83111820665208
49,3.45087014815709
50,3.34233777199539
51,3.49119317739264
52,3.41297181317002
53,3.34036813043209
54,4.2703161031558
55,3.89821319256315
56,4.8200999771512
57,3.4119530187598
58,3.77879203975309
59,3.7497316024937
60,3.79094438011574
61,3.93850314202451
62,3.4391760964431
63,3.15809570858588
64,2.45347379869375
65,1.85252518042209
66,2.33449019332065
67,2.82133899969712
68,2.93417415846905
69,3.63292655429106
70,4.98140052337185
71,4.2813986024579
72,2.44870066901775
73,3.30297750233778
74,2.78594146806255
75,2.38714714292289
76,3.267617673126
77,3.0547530335651
78,2.2293000282739
79,2.55035245844353
80,2.58305801304749
81,2.71048134056791
82,3.07808135324276
83,2.84300306033952
84,3.3654660322348
85,3.17803223251472
86,3.41467316075276
87,4.13952583780675
88,4.25624771382906
89,3.81684606119139
90,4.49764218186888
91,4.93356644466859
92,4.97073102739052
93,4.78369703649042
94,4.02742337596478
95,4.81439541474283
96,4.07133462079127
97,5.42820079174462
98,6.05538807172533
99,5.31932020600993
100,4.1769615345932
101,3.48428463308505
102,3.60724630287761
103,3.35311272737843
104,3.07921036232433
105,2.43723529277395
106,2.55826882685292
107,2.13718193286238
108,1.18218619067821
109,1.31959038834113
110,2.33896993701544
111,2.10843307578648
112,2.75232148618671
113,1.70933929314695
114,1.96857805865038
115,2.57844748968073
116,2.91356534526128
117,3.04482561211329
118,2.62736628387687
119,2.14709998487799
120,1.64078983447895
121,0.634984485553248
122,0.204755358513237
123,0.180414076220122
124,0.325066726437324
125,1.9107567848124
126,1.4322404966631
127,1.67056299792988
128,1.7510229930385
129,1.08751875053971
130,1.18009934014525
131,2.31526507301255
132,2.52826489556549
133,2.41147496184745
134,1.99343218684022
135,0.517472694393815
136,1.56591420490498
137,0.590283314276605
138,1.35018990903542
139,2.77652442568057
140,1.5704943278642
141,2.10764449705366
142,1.8625773550612
143,0.749560972647117
144,-0.100618579529532
145,-0.841570185125841
146,-0.684890713619885
147,-1.21114148039304
148,-0.127371443231352
149,1.72817910378289
150,0.841621949801686
151,1.58471475307397
152,2.16610137115982
153,2.32542290219293
154,1.51447469596044
155,1.48796293212689
156,1.35409361108234
157,1.83736756212021
158,1.56918692042349
159,2.29923090701872
160,1.93717812517807
161,2.64664052604799
162,1.74288851617214
163,0.872202141607037
164,3.32648966774531
165,2.72939142248395
166,2.75227245206566
167,3.00741673347622
168,2.42728694878486
169,2.66363299004741
170,2.74918156120749
171,2.40857889361681
172,2.33256823836117
173,2.20220751307201
174,3.61168233976893
175,2.73041060442417
176,1.77713109658707
177,1.80815675668941
178,2.02386192996172
179,2.28465597920651
180,1.86686905046743
181,1.10916694659411
182,2.13156318053793
183,1.82049527286286
184,1.21053721443292
185,1.16303407328757
186,1.15240413258607
187,2.0588675088684
188,2.06641011163276
189,2.54096573893537
190,2.04326817912772
191,2.14472626000929
192,1.84850086996385
193,1.90500916569258
194,1.25725298196979
195,0.448241312246248
196,2.11664241912058
197,2.47381011186715
198,1.46315813635626
199,1.10271036740871
200,0.412332234708854
201,2.22903303198569
202,3.06191550909201
203,2.62393086758616
204,2.83938053553139
205,2.34146646488191
206,1.89980034567462
207,1.32781829004453
208,1.00602254481397
209,2.32045326298686
210,2.17854292282968
211,2.18630600376305
212,2.2796260037298
213,3.04643391792358
214,2.43590245267752
215,1.61396695686759
216,2.8241614181763
217,2.31051488270734
218,1.70226572720796
219,0.856421398548065
220,0.145836113215995
221,0.0748874550642051
222,0.852500036067934
223,1.81889372610515
224,2.31042682856903
225,1.95378135488855
226,1.96485004008006
227,1.438662507488
228,1.00887729288859
229,1.78635718359472
230,1.07817094185329
231,2.59124252932736
232,2.36977030768579
233,2.40599342478908
234,1.76782534651357
235,1.37218819437656
236,0.535839262887582
237,0.660623638449156
238,1.18178659420645
239,1.53244231627813
240,1.03887831208417
241,0.639067270069539
242,0.519714713215629
