"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100"
"Cell1",0.143815647347926,92.1661892275008,318.329624987849,4.21445435328018,2.85043581792654,2.83466373351999,8.1667864173861,7.62999424709625,5.06836896579762,0.446604638409144,0.126026860837522,51.6427400760402,9.42938649231305,2.31671395057745,0.486707259668419,0.669285200702823,0.204122188792219,9292.67221922752,0.0156050165624253,240.449457813157,0.409070184244349,0.0235609497342163,1.41404469918096,8.01034006743958,4.24860808054532,4.47392960576705,0.879303812703134,8.53734392640993,0.0907835559724498,60.1811812124819,82.0180286292888,0.657536947620232,32.3548312362092,162.003298294496,0.0339069062394739,0.484922249282062,1.37039892695766,22.0545407559376,0.109260599982214,0.059835615790509,1746.24007063188,1.21916971212642,79.474702408227,42.2337787757358,239.81398489686,12.4971171843588,4.55854301201274,4.50750528851806,16.410422649383,73.8626942844682,20.5651263821293,0.280774359411701,1.50897344333299,140.942803533173,0.0495593618309734,34.4229203458865,0.683777273873449,0.688564266135196,1.0481225592172,0.293066016693474,356.178505813125,2.30788950086009,0.482080914301047,0.0652749888398116,358.09208347226,2.08478161418812,8.1625783315638,0.13747789167041,1.47721618109249,598.233999409818,5.69835382265145,1.44255240783528,26.6087071969247,11.8285961249189,12.238624153495,3.87480736262058,1.27772538276614,0.0108536732051408,1.83997150150472,3.29255532363266,0.238772372925835,25.2492921610619,2.52376283048444,1.36805506770592,0.542878916741758,72.4111351286064,232.329952400082,124.019146072156,956.212353142449,3.09940878821628,1.4726835718557,6.77499563480632,0.0236445050433946,2.17039986811715,0.00670408055697339,0.0531215657390004,1094.09793188762,5.80033376059885,8.01692238474128,1.06322893292947
"Cell2",90.1349430765244,9.59963850510195,189.202389973793,1.14485005835047,11.0658927074472,5.20547114894419,3.51171641472428,0.0190321344246643,253.268012249165,0.00087152646188521,0.0112311563540504,10.9076019769725,0.401179766537537,2.26424236505846,0.929304786083046,2958.58238371191,0.983306436458388,444.502496209373,1.97119149218793,44.2698428403419,0.0079026579262419,0.0279852539268959,5.1225930860052,0.351550333628421,25.5126379612037,1.7381085010685,1.92694939216815,2.62280607964061,0.057084046221445,146.56584749065,13.7493501458115,2.90966451186829,1.27520447342131,4394.71971063394,1.90845718997034,0.008969758869921,3.17896027691327,5.18610169656551,0.0897253615070478,0.831522761272609,132746.572020403,1.45702385006554,51006.2190121187,1.20898850930752,31.0724115749462,29.9274294323018,2.79030930799283,0.773081595293157,12.1826938547823,1522.75305051307,10.205916679017,0.36501026111002,0.137100146981291,5.44245088688596,0.235753552145258,8974.88584016337,0.00321585213809282,1391.93852743031,0.518339472787027,0.824671997181106,1002.01050943328,0.000328778286632074,21.7522571803945,0.0449141317999394,362.904215104518,0.225164320208648,167.719215653564,0.0143944822700028,52.2674561371338,1.47736003206062,0.440146813705912,3.62468278479799,17.6127994696431,512.800932535241,42.2071928678244,0.331924479389163,529.027883362699,0.0399407739533464,0.640324523799278,1.38037696510558,0.335172684330212,1.72013287945652,0.202910622732388,0.027242950524104,1.65390700089386,31.9885445726707,84.9730433918297,3051.18279307675,1231.49304683566,2.95682930694355,0.37895818790856,126.545394827873,0.0276769343762833,0.991393841156644,0.00162487710766638,0.0334293190810489,398.590344293994,3.60334637984872,518.203683197272,0.228114163710446
"Cell3",0.00633760559497515,93.5036144348365,67.3586496245303,0.071114655771969,95302.1158430757,0.0100235165256152,15.94001245415,149.688874499359,5.42629456571149,99.7892370536296,406047.639956466,1163.98952085338,0.60725431993903,0.368361723209072,2.44883271008074,8.46200551325308,0.00906208066802542,33.1259907556625,40185.1779183954,11.8582956338145,38.6029381441765,221.487905065442,0.0812086760073393,270.213693778793,0.0678810369536157,0.0305156991023795,30.7448931318082,0.00928349339238446,0.567099613800165,0.152797860167091,2.97067381037351,2.63072512597946,0.459031018403482,0.0120929856946141,1.24676517995315,0.122012289389449,0.0416568641301271,0.392785770114992,5.92998654581398,35203.4596469562,0.00492164967347979,12.8806648094161,2.01536160710861,0.890989120165805,0.0104407562895361,2.00408054674819,556.495980950548,101.94736853295,157.036073737055,0.0197673346698089,1.40876755066089,761.981529991858,0.543822865741163,0.00148587376925155,38.5483962896405,0.366495579590442,5104.97924713636,263.338905249739,22.9275650641511,38.0262114874867,0.0485130899868654,43.8134920241773,264.685782731557,45.2089568377881,4079.60758003614,12.0586847780821,755.841296366786,1.75257657294361,0.352797772748654,224.640310568354,0.221235589277873,11.3687189101581,2.77068741568658,2173.60528599781,6.15444897217371,24.2422978425694,9.62555874340173,85.5015973354934,1401.88080219795,1.12199065789191,7551.10043523322,3.58859983375945,118.575738198182,7.00190019716432,44.2524553821966,673.842952978118,0.0120117483619476,0.70078478809086,751.15818589165,214.856321118419,0.104284187993651,0.0350488572440185,4017.74135337608,39.2461632929194,44.486324152962,18.299290323332,149.604573872007,0.0236970381671057,0.00270292953902753,6954.10863661129
"Cell4",3.53911707432399,36.6005693199957,0.0602875344142588,2.36343786729229,97.5771454159845,8.50407010325803,0.717222379721282,0.0471957584834685,0.44602681847473,0.745774694565446,10.094058845986,46.0747896177,4.95068754694297,0.21681034564741,378.683952255034,265.205188658996,8.50533568041118,0.176968399584211,1366.63881254151,204.771022437782,62.5626128700172,18425.103357141,2.19535145990704,224.370792279195,0.0176824907819474,0.396460913488515,4705.25008077469,0.00389847113653205,0.320312163283559,0.0309520168254543,4.78307337304539,0.651653792902541,0.348212154413892,0.108583606832184,26.8392704426413,3.76043088228471,1.95864606922895,0.741270724462472,97.0793726365971,1169.25619139064,2.42702998958037,240.951410122446,0.459695438287905,0.354732240003434,0.500364720477447,0.244936005779007,2232.95012319132,21.3717387429185,13.9227033735599,0.0146841041993183,94.1565865082401,29.3412787220164,56.5267929553817,0.172044336230563,123.308877588148,2.29651977062392,166.075215483005,62.3936834599876,89.8522545309588,2.03325276157464,60.5273049733797,6.95609697126416,2461.59200020376,9.87853471358203,30.5967477247932,4.14276873865755,1302.79936610252,4.50241089319577,1.78737152224455,0.336453528721718,1.90647654777688,105.119047750292,0.342176124599706,623.875729907378,2.05658724446295,30.3642910890513,2.25195238825917,10.1429081650456,53.2314549308062,26.8432751156869,346.048808353454,0.143858886417792,1.80527426638725,0.393904939794814,210.435212386133,0.0520216165048792,0.157865630016344,0.0704706081540067,5.46679104875126,47.0213739771815,11.1122742335798,0.493617449029991,345.640185932971,65.7793706950279,87.9037203769448,383.672982554843,0.0280587764897844,0.475716630991249,0.14889569384829,1.45193676216479
"Cell5",95.2535820142472,0.773326304466422,1.54541465826423,207.865988279496,0.252373854423504,509.429093221463,6.26887301226539,1.09035147728115e-05,921.747566465223,2.24342106643168e-05,3.66670741378743e-06,8.78025169937925,0.0190268847751539,1.55202574248129,3.26936119476722,13493.4264748415,1.47328506736063,26.7045165161937,51.8106068153586,1.12819778870682,0.0208269134499173,0.000974668914863005,456.841977197993,0.0626383289883336,5018.76600556204,12.882609082151,4.03461434772913,0.106698159625226,0.0276355562981508,131.748397846734,9.62165353250857,0.520732535334815,2.32643015975505,8851.91093643271,3.94409503541643,1.0097875690841,0.26358896305938,51.1265643481991,0.0178126495345423,0.846976905563863,1062173.78976752,0.495393392183755,125310.741671376,0.613950948363496,1046.46180709837,9.05011339175817,0.130580688378055,0.0286588411763432,2.63855992689768,143448.77463939,23.206458902383,0.191643150644106,0.672852538002406,768.249742176098,0.288919077426903,428918.501157185,0.0014126625556122,2982.45676827637,0.416146091467868,0.162162898612527,260514.168611618,0.0127243955985191,7423.56568603462,0.0265962446484419,14.1136401448388,0.0213687690887002,4599.71167048934,0.00347450863251751,4.51790506717348,0.0042407732611846,0.120624573157948,0.0078278628689717,10.2283518024788,51.6635685057531,18.1036199478165,0.614571942250743,18.0567690449226,1.04711358464973e-05,9.5856655599483,6.58199080960145,0.0497954965151009,0.0126359771369077,0.040389824385435,0.00802176008517446,19.5704592270536,0.512370414696738,51.3213428347799,349.790356474123,936.532825494652,4.1978197791741,51.1595239526731,22017.8046651364,4.83767529996536e-05,0.0169319866362875,1.00805166516314e-05,0.15802166098356,0.822546427634326,7.953978878322,265.347114040662,0.187299772151503
"Cell6",215.800590205562,2.12829115044305,0.362271253355441,164.523834264463,0.00768622938704496,336.953765850383,275.939844605392,0.00886876188683961,2.11957589405983,3.93861552022438,2.92631916097384e-05,321.680781390836,6.5071065434839,0.00311549532237719,1.32060056576729,270.18053957867,377.177970555396,0.00620456826718669,4.82844974687155,15.0985064459033,1029.73255746466,3.04458079951792,2837.02260007549,0.0171374154466272,32.6164442177395,0.397167392997899,37.4792029903268,0.116389765093127,26.3494352737739,2.17402723072293,12.1281347646504,0.989564373641863,0.0279951785389345,0.211553428171976,24.1887670508383,42.8673897618841,4401.71295173188,0.137688825974349,0.198528878907995,0.519738175080983,0.190642302199053,16.6752649753502,0.0185403053070741,0.00214946122522139,133.669899544976,0.1071970900107,45.0214739423657,0.0194022377090814,9.0835948824862,28.9901285864722,795.738709531098,0.000751686330491713,8448.618796711,136287.582712902,0.0988230419186046,13.4396477970805,30.5157234981652,2.52431888764325,124.242902260155,0.630187576905184,443.683018620539,0.0610841241986094,8.15196848912575,0.940166122649582,10.0624975856283,5.71101517217625,12.2089411343535,33.3736981569832,2.93639202590366,0.300993037140121,7.15049280912371,0.0235200812720707,0.198984145513924,0.153351010402352,0.836264832658983,18887.0901015314,0.00728326103755988,0.376023440723619,6.25480896433392,526.075061480096,0.102828683064108,0.0315692245354683,1.43166228904434,0.0499511972586148,46.4633944837068,0.000289051951874543,4.35396511752188,0.0863322662707095,0.041117481647495,22.92598127341,600.270059332773,1580.77040645944,0.911211168766709,0.013474319933987,0.00532073766379788,6.50948040836741,0.00714784030505588,2.63677336668645,0.110554572120028,0.227895138619595
"Cell7",23.818879154081,0.997637426233141,5.07924740065801,73.8397792586805,6.24658578197811,6.30025419489267,6.46956751138045,0.00435171233126421,1225.58270250532,0.00810299779839223,0.00371789383100965,1.0783457413833,0.00744769481578786,2.06134222271486,2.88038114547808,24.5288897276677,0.12224224277165,9.2137894839863,19.4673461051223,0.850083662914977,0.142770979775917,0.0809336695622024,124.777394416148,0.153173464573555,438.54453764877,2.36004565883925,6.00353152242463,0.690710281166985,0.11406563588512,10.0113643213938,15.2414913448983,1.77740149985343,3.84047119619292,2941.59215119146,2.35506945075611,0.541500551826639,1.65900360716992,3.16764235495941,4.22557436884685,8.63412424348158,1998.85662092009,0.131162639776323,8655.00643618017,0.78002530766054,35.2432237104596,14.9644866913321,0.895199667301627,0.476708981955878,17.1938793040669,1429.77405873498,1.98909970054584,0.615264690388345,0.595479502708433,14.7705997490632,0.924237060659596,437.534589369821,0.00914783681933976,3267.53651883599,0.30768607060351,2.48770015096546,878.564737594408,0.0360941140300529,1398.56875975318,0.602816365853748,6.15541465312453,0.311337562686352,253.849232279431,0.0289129950137544,3.04083197676205,0.0623998243191975,0.0563635907589128,0.0389792858588653,33.3307293241005,55.4590617623767,6.63146931644446,0.903036596718169,84.9735692488794,0.00199029470222346,2.0642624356041,9.27130771823219,0.472267544762663,0.988244083557334,0.0705188192519418,0.0665784240249915,9.24367986528551,57.1382158588,23.5380711775951,911.9019664369,164.810254128875,3.45717098026621,43.1198097744758,363.667141472153,0.0022730371058947,0.38899047209526,0.00121813502024853,0.400247278374457,3.81043881387371,3.67145661160976,13.8084996960957,2.54094596327151
"Cell8",65.6406894122518,5.84905501461847,1709.00579062296,15.616167741724,10.2372128496403,7.15335814037475,0.254843661671531,0.0029383615930954,27940.976054165,1.18346931288369e-06,0.000945523894132775,0.324890159013062,0.606254945964167,341.551633150466,0.661872533341915,5734.706690716,0.30985415866845,103372.092433851,0.401680366376216,0.669898416910189,0.000184104925520716,0.000252116053608562,7.99707001446002,0.940787104666705,25891.1216569799,59.1771107626238,0.0330788759354928,14.9901730269834,0.00647768827029194,1405.58514098103,19.5135323460191,1.70367667168528,320.914318505782,2909897.70899935,0.443750222701454,0.0176566815565876,0.00430429276048786,978.153954331589,0.00975336305782588,0.0901513747211041,36573278045.4295,0.0536694020715382,84428697.4605694,643.137380047757,1187.70916823441,863.024872387903,0.0199609030452881,2.89228826677181,0.22422384703158,1875524.98492868,2.38181438755163,0.44802624497552,0.000686802406330178,4.9630789070826,0.0168500821256599,1311051.28548933,1.46442441542387e-05,9149.49124381664,0.0458119687136514,0.0152610221989589,22283.5490205977,0.00484314313899457,98.9670594889303,0.0118994195330605,170.65024618041,0.0147336013518048,1244.60307287847,0.000134123830170114,9.63890634209384,0.213488478476672,0.0208530287218913,0.599840785907627,422.78398369729,216.713074858724,751.887305882758,0.000256591060149845,87468.843344954,5.33036352107417e-05,0.430687329656539,0.53078787942474,0.00447488546797401,5.04444778113596,0.105937954995331,0.0772711229666283,0.248572494290627,3950.87305280593,3938.19259942719,2236574.2511462,118063.874672396,0.122585979248,0.53258657739819,506.654116016889,1.27305285447526e-05,0.372383561417919,1.2629837912904e-05,0.0234851360208999,2379.06654137013,29.5896527571917,119459.407014096,0.0982867481005633
"Cell9",46.8378260563588,0.781944079217472,0.84232213764161,35.5664371999478,57.6866907480643,75.6341695700088,9.68719825261403,0.0452944788478782,7.15478060184569,0.221467214697537,1.6576391493421,0.231862551418296,0.0132022934213339,0.353021318726983,317.293509590988,2.58848160499062,2.03952734824541,0.0849706278665193,12529.8415208173,2.43693333017107,13.0783735306752,41.9508342349732,58.7962804550279,1.96576077005497,46.8941609459045,0.433516705474457,43.3575714485751,0.136494342548785,0.299808741452137,0.12738690140283,2.42024049708155,4.98600977067438,0.38368379153584,1.34152848642646,39.8100538616963,13.3645743540025,0.70951350006102,0.223394497211254,120.073708598038,114.46600283795,0.317891639214437,0.85673437475212,79.540891388809,0.246875111196064,0.196929542600027,4.54612167662866,4.79317573085906,0.080573882660087,3.24528016456046,20.6861461504961,2.322481549746,8.18543448633653,13.4639290036033,4.25161801594188,153.826259338869,2.67915756564007,3.87387324954896,777.436680379102,56.5123890918825,6.60148104891693,23.5319408281796,9.18438201974892,788.335802940681,5.18673508831014,1.27749882222253,1.55878060801965,132.058644313134,7.76196882957402,1.14040415773574,0.0458561455902007,0.111573559026351,0.693618424744459,11.3090186705295,10.6488861166394,1.85622743740813,42.867852210329,0.457963312794039,0.108937778103692,54.2085340892678,44.7217964375654,55.8464151057637,0.607825801463063,0.147017828678791,0.247728419607733,156.875730255875,0.965630684329782,0.310763893859431,1.95317753326795,0.885794596993826,3.24531933302307,135.251496179752,30.9846057149373,0.247464859979165,0.406708416269656,0.187481937515419,26.9709325339201,0.0178773641347888,0.504347191450568,0.00535747164205111,7.1996837309802
"Cell10",42.436787000495,1.29491743552456,0.134537995517608,90.2255781571609,83.9637897184615,2.97671052882146,10.1277064864917,0.0129691484078243,0.559799412603382,0.0710436607615818,1.16360483070677,2.09645851546866,0.030556026369106,0.0588367693174813,762.141179005003,53.3795610453699,0.695877084505815,5.91854421550069,1016.68367618739,1.35004175981578,18.4372038494404,60.9250332111047,185.922840297302,11.3645695017618,22.9077067541459,0.733833230833523,181.228847489763,0.00820634800750221,0.0461546763376768,0.0731183715308258,11.0303004306558,0.269407164940973,4.1612357583809,13.9508659320538,11.3439353697656,131.257580881248,0.323687913848292,0.940638719684616,3.74130060483068,27.8717652305067,13.1739831196427,7.8595915153095,5.39978247566993,0.552558392640613,1.69282971901499,11.861093021499,30.9923667864583,0.938958435376876,7.09454963930426,0.163778088902323,34.4709844442373,4.20899804215994,86.2001192888168,50.7798940352293,1.81304047911446,6.76535223474524,1.36888791554661,46.3687026608571,63.418784686498,0.65488594897184,3905.16623599074,32.3712272674211,1804.08271982623,0.896372871891168,26.1916820794137,0.188963365064735,451.200158388492,2.01307620513581,0.132800299536392,0.0833541267441042,0.0526942976893443,0.114078430897425,17.5650885383185,2.54925058266931,10.2205414294034,12.3990698942757,0.0292015899311163,0.0217585590947613,5.00269538488309,189.844683030227,2.42341660906619,0.0455033959986653,1.90124129648502,0.383790569128795,11.4702694630336,0.0331314256743498,2.57579935470045,0.592173334785542,0.469210598138299,1.95699167005648,679.658596541704,138.823145585416,0.207175518378222,0.322422312546451,0.135993070878198,5.65801656447617,0.0553197270596778,2.42680827981104,0.0121176329517939,1.72470190303314
